Order_ID,Customer_ID,City,Category,Product_Name,Quantity,Price_per_Unit,Order_Date,Delivery_Time_Minutes,Payment_Method,Rating,Total_Amount
100001,4174,Pune,Vegetables,Milk,3,27.5,2024-05-25,17,Cash,5.0,82.5
100002,4507,Delhi,Dairy,Milk,5,55.73,2024-05-28,45,UPI,1.4,278.65
100003,1860,Mumbai,Dairy,Milk,8,176.66,2024-04-20,51,Cash,3.0,1413.28
100004,2294,Pune,Dairy,Milk,5,85.1,2024-05-08,44,Card,4.4,425.5
100005,2130,Mumbai,Beverages,Apple,4,98.6,2024-09-09,45,UPI,2.2,394.4
100006,2095,Hyderabad,Beverages,Juice,8,173.52,2024-06-14,57,UPI,2.0,1388.16
100007,4772,Hyderabad,Beverages,Juice,7,109.15,2024-10-23,45,Card,4.6,764.0500000000001
100008,4092,Hyderabad,Fruits,Banana,6,46.76,2024-05-16,34,Cash,2.2,280.56
100009,2638,Delhi,Vegetables,Chips,5,179.49,2024-10-05,29,UPI,3.6,897.45
100010,3169,Hyderabad,Snacks,Bread,5,15.9,2024-11-29,54,UPI,4.0,79.5
100011,1466,Pune,Fruits,Juice,2,180.13,2024-01-11,26,Cash,4.2,360.26
100012,2238,Mumbai,Vegetables,Milk,4,19.6,2024-03-11,32,UPI,5.0,78.4
100013,1330,Bangalore,Vegetables,Juice,8,136.51,2024-06-07,34,UPI,4.2,1092.08
100014,2482,Pune,Dairy,Banana,8,23.62,2024-08-03,57,Card,3.6,188.96
100015,3135,Pune,Dairy,Chips,1,144.18,2024-01-26,58,Cash,4.6,144.18
100016,4444,Hyderabad,Fruits,Juice,2,16.45,2024-10-12,40,UPI,4.6,32.9
100017,4171,Delhi,Dairy,Banana,5,170.07,2024-06-10,15,UPI,4.9,850.3499999999999
100018,3919,Mumbai,Vegetables,Apple,9,98.53,2024-04-11,44,Card,4.1,886.77
100019,4735,Delhi,Dairy,Chips,7,27.76,2024-03-09,13,UPI,1.8,194.32000000000002
100020,1130,Mumbai,Beverages,Banana,5,144.3,2024-05-12,49,Card,3.8,721.5
